"ABalpaapaap	"
"ABalpappapa	"
"ABaraaapaap	"
"ABaraaaaaaa	"
"ABaraaaaapa	"
"ABaraaaapap	"
"ABalpaaaaaa	"
"ABaraapaaaa	"
"ABarapaaaaa	"
"ABalpaapapa	"
"ABalpappppa	"
"ABaraaapapa	"
"ABaraapaapp	"
"ABaraappapp	"
"ABarapapppa	"
"ABalpappapp	"
"MSaaapapa	"
"MSpaapapa	"
"MSaapaapaa	"
"MSpapaapaa	"
"MSaaaaapap	"
"MSpapapaa	"
"MSaapapaa	"
"ABalpaaappp	"
"ABarapaappp	"
"ABalpapppaa	"
"ABarapappaa	"
"ABalpappaapa	"
"ABarapapaapa	"
"ABaraapapaav	"
"ABaraapppaav	"
"MSaaaaapaa	"
"MSaaaapaa	"
"ABarapapapp	"
"MSpaaapaa	"
"ABaraappaaa	"
"ABalpaapapp	"
"ABalpappppp	"
"ABaraapappp	"
"ABaraappppp	"
"ABarapaappa	"
"ABarapapppp	"
"MSaaapaaa	"
"MSpaaaapa	"
"ABalpaaaaap	"
"ABalpaaapaa	"
"ABaraapaapa	"
"ABaraapappa	"
"ABaraappapa	"
"ABaraappppa	"
"ABarapaaaap	"
"ABarapaapaa	"
"ABalpaaaapa	"
"ABaraaaaaap	"
"ABaraaaaapp	"
"ABaraapaaap	"
"ABaraappaap	"
"ABarapaaapa	"
"MSpaapaaa	"
"ABaraaapapp	"
"MSaaaaapp	"
"MSaaapaap	"
"MSaapaaaa	"
"MSpaaaaaa	"
"MSpaaaapp	"
"MSpapaaaa	"
"ABaraapapap	"
"ABaraapppap	"
"MSaaaapap	"
"MSaapaaap	"
"MSpaaapap	"
"MSpaaappa	"
"MSpapaaap	"
"MSaapappa	"
"MSpaaappp	"
"MSpapappa	"
"MSaaaappp	"
"MSaapaapp	"
"MSpapaapp	"
"MSaaapapp	"
"MSaaappp	"
"MSaapappp	"
"MSaappaa	"
"MSaappap	"
"MSpaapapp	"
"MSpapappp	"
"ABaraappaa	"
"ABaraapppp	"
"ABarapaapa	"
"ABarapaapap	"
"ABaraapapp	"
"ABaraapppp	"
"ABalpaaaaa	"
"ABarapaaap	"
"ABarapaaapp	"
"ABaraaaaap	"
"ABaraaaaaa	"
"ABalpaaapa	"
"ABalpaaapap	"
"ABalpaaapp	"
"ABalpaaappa	"
"ABalpaaaap	"
"ABalpaaaapp	"
"MSpaaaaa	"
"ABarapappa	"
"MSpaaapa	"
"MSpaapaa	"
"ABalpapppa	"
"ABalpapppap	"
"ABaraaaapa	"
"MSaaaaapa	"
"MSpapapa	"
"MSaapapa	"
"ABalpappaap	"
"MSaapaapa	"
"ABarapapaap	"
"ABaraapppaa	"
"MSpapaapa	"
"ABaraapapaa	"
"ABaraaapaaa	"
"ABalpaapaaa	"
